month,loan_id,product,region,branch,disbursed_amount,outstanding_amount,dpd,due_date,payment_date,is_paid,customer_segment,charge_off_flag
2024-11-01,L00001,Personal Loan,North,B012,160780,160780,30,2024-11-03,,0,Prime,0
2024-12-01,L00001,Personal Loan,North,B012,160780,157014,0,2024-12-17,2024-12-21,0,Prime,0
2025-01-01,L00001,Personal Loan,North,B012,160780,157014,0,2025-01-02,,0,Prime,0
2025-02-01,L00001,Personal Loan,North,B012,160780,154238,0,2025-02-20,2025-02-22,0,Prime,0
2025-03-01,L00001,Personal Loan,North,B012,160780,151489,0,2025-03-22,2025-03-11,1,Prime,0
2025-04-01,L00001,Personal Loan,North,B012,160780,149540,0,2025-04-18,2025-04-23,0,Prime,0
2025-05-01,L00001,Personal Loan,North,B012,160780,146617,0,2025-05-27,2025-05-24,1,Prime,0
2025-06-01,L00001,Personal Loan,North,B012,160780,146617,0,2025-06-04,,0,Prime,0
2025-07-01,L00001,Personal Loan,North,B012,160780,143677,0,2025-07-23,2025-07-25,0,Prime,0
2025-08-01,L00001,Personal Loan,North,B012,160780,140599,0,2025-08-19,2025-08-15,1,Prime,0
2025-09-01,L00001,Personal Loan,North,B012,160780,138836,0,2025-09-16,2025-09-24,0,Prime,0
2025-10-01,L00001,Personal Loan,North,B012,160780,138836,0,2025-10-16,,0,Prime,0
2024-11-01,L00002,Auto Loan,North,B011,70879,69311,0,2024-11-04,2024-11-20,0,Prime,0
2024-12-01,L00002,Auto Loan,North,B011,70879,69311,0,2024-12-14,,0,Prime,0
2025-01-01,L00002,Auto Loan,North,B011,70879,69311,0,2025-01-11,,0,Prime,0
2025-02-01,L00002,Auto Loan,North,B011,70879,69311,0,2025-02-23,,0,Prime,0
2025-03-01,L00002,Auto Loan,North,B011,70879,67706,0,2025-03-11,2025-03-18,0,Prime,0
2025-04-01,L00002,Auto Loan,North,B011,70879,66810,0,2025-04-10,2025-04-22,0,Prime,0
2025-05-01,L00002,Auto Loan,North,B011,70879,65199,0,2025-05-06,2025-05-23,0,Prime,0
2025-06-01,L00002,Auto Loan,North,B011,70879,63154,0,2025-06-18,2025-06-19,0,Prime,0
2025-07-01,L00002,Auto Loan,North,B011,70879,61847,0,2025-07-27,2025-07-28,0,Prime,0
2025-08-01,L00002,Auto Loan,North,B011,70879,61796,30,2025-08-04,,0,Prime,0
2025-09-01,L00002,Auto Loan,North,B011,70879,61796,0,2025-09-25,,0,Prime,0
2025-10-01,L00002,Auto Loan,North,B011,70879,60799,0,2025-10-02,2025-10-10,0,Prime,0
2024-11-01,L00003,Home Loan,North,B002,37952,37403,0,2024-11-22,2024-11-28,0,Prime,0
2024-12-01,L00003,Home Loan,North,B002,37952,37403,0,2024-12-17,,0,Prime,0
2025-01-01,L00003,Home Loan,North,B002,37952,36283,0,2025-01-13,2025-01-26,0,Prime,0
2025-02-01,L00003,Home Loan,North,B002,37952,35433,0,2025-02-01,2025-02-07,0,Prime,0
2025-03-01,L00003,Home Loan,North,B002,37952,34519,0,2025-03-27,2025-03-21,1,Prime,0
2025-04-01,L00003,Home Loan,North,B002,37952,33551,0,2025-04-18,2025-04-07,1,Prime,0
2025-05-01,L00003,Home Loan,North,B002,37952,33369,0,2025-05-06,,0,Prime,0
2025-06-01,L00003,Home Loan,North,B002,37952,32789,0,2025-06-02,2025-06-18,0,Prime,0
2025-07-01,L00003,Home Loan,North,B002,37952,31698,0,2025-07-01,2025-07-23,0,Prime,0
2025-08-01,L00003,Home Loan,North,B002,37952,30852,0,2025-08-20,2025-08-21,0,Prime,0
2025-09-01,L00003,Home Loan,North,B002,37952,29878,0,2025-09-19,2025-09-03,1,Prime,0
2025-10-01,L00003,Home Loan,North,B002,37952,29116,0,2025-10-06,2025-10-26,0,Prime,0
2024-11-01,L00004,Personal Loan,Central,B004,389375,382672,0,2024-11-07,2024-11-11,0,Prime,0
2024-12-01,L00004,Personal Loan,Central,B004,389375,372364,0,2024-12-17,2024-12-18,0,Prime,0
2025-01-01,L00004,Personal Loan,Central,B004,389375,361427,0,2025-01-22,2025-01-08,1,Prime,0
2025-02-01,L00004,Personal Loan,Central,B004,389375,354564,0,2025-02-02,2025-02-11,0,Prime,0
2025-03-01,L00004,Personal Loan,Central,B004,389375,350478,0,2025-03-09,2025-03-10,0,Prime,0
2025-04-01,L00004,Personal Loan,Central,B004,389375,350478,0,2025-04-17,,0,Prime,0
2025-05-01,L00004,Personal Loan,Central,B004,389375,339201,0,2025-05-07,2025-05-03,1,Prime,0
2025-06-01,L00004,Personal Loan,Central,B004,389375,334798,0,2025-06-18,2025-06-21,0,Prime,0
2025-07-01,L00004,Personal Loan,Central,B004,389375,330095,0,2025-07-28,2025-07-27,1,Prime,0
2025-08-01,L00004,Personal Loan,Central,B004,389375,330095,0,2025-08-24,,0,Prime,0
2025-09-01,L00004,Personal Loan,Central,B004,389375,323619,0,2025-09-05,2025-09-23,0,Prime,0
2025-10-01,L00004,Personal Loan,Central,B004,389375,315248,0,2025-10-26,2025-10-03,1,Prime,0
2024-11-01,L00005,Home Loan,East,B013,26240,25625,0,2024-11-14,2024-11-13,1,Standard,0
2024-12-01,L00005,Home Loan,East,B013,26240,25056,0,2024-12-20,2024-12-24,0,Standard,0
2025-01-01,L00005,Home Loan,East,B013,26240,24434,0,2025-01-17,2025-01-26,0,Standard,0
2025-02-01,L00005,Home Loan,East,B013,26240,23825,0,2025-02-15,2025-02-27,0,Standard,0
2025-03-01,L00005,Home Loan,East,B013,26240,23145,0,2025-03-05,2025-03-26,0,Standard,0
2025-04-01,L00005,Home Loan,East,B013,26240,22428,0,2025-04-05,2025-04-26,0,Standard,0
2025-05-01,L00005,Home Loan,East,B013,26240,22092,0,2025-05-01,2025-05-18,0,Standard,0
2025-06-01,L00005,Home Loan,East,B013,26240,21670,0,2025-06-13,2025-06-03,1,Standard,0
2025-07-01,L00005,Home Loan,East,B013,26240,20961,0,2025-07-12,2025-07-21,0,Standard,0
2025-08-01,L00005,Home Loan,East,B013,26240,20961,0,2025-08-20,,0,Standard,0
2025-09-01,L00005,Home Loan,East,B013,26240,20210,0,2025-09-28,2025-09-25,1,Standard,0
2025-10-01,L00005,Home Loan,East,B013,26240,19913,0,2025-10-18,2025-10-22,0,Standard,0
2024-11-01,L00006,Auto Loan,West,B006,80783,79814,0,2024-11-05,2024-11-08,0,Prime,0
2024-12-01,L00006,Auto Loan,West,B006,80783,78011,0,2024-12-11,2024-12-11,1,Prime,0
2025-01-01,L00006,Auto Loan,West,B006,80783,76693,0,2025-01-19,2025-01-26,0,Prime,0
2025-02-01,L00006,Auto Loan,West,B006,80783,76693,0,2025-02-08,,0,Prime,0
2025-03-01,L00006,Auto Loan,West,B006,80783,75350,0,2025-03-12,2025-03-24,0,Prime,0
2025-04-01,L00006,Auto Loan,West,B006,80783,74367,0,2025-04-25,2025-04-18,1,Prime,0
2025-05-01,L00006,Auto Loan,West,B006,80783,74367,0,2025-05-09,,0,Prime,0
2025-06-01,L00006,Auto Loan,West,B006,80783,72118,0,2025-06-21,2025-06-03,1,Prime,0
2025-07-01,L00006,Auto Loan,West,B006,80783,70068,0,2025-07-27,2025-07-13,1,Prime,0
2025-08-01,L00006,Auto Loan,West,B006,80783,68498,0,2025-08-09,2025-08-18,0,Prime,0
2025-09-01,L00006,Auto Loan,West,B006,80783,68498,0,2025-09-08,,0,Prime,0
2025-10-01,L00006,Auto Loan,West,B006,80783,67103,0,2025-10-17,2025-10-13,1,Prime,0
2024-11-01,L00007,Education Loan,East,B002,128826,128826,30,2024-11-22,,0,Prime,0
2024-12-01,L00007,Education Loan,East,B002,128826,128826,30,2024-12-06,,0,Prime,0
2025-01-01,L00007,Education Loan,East,B002,128826,128826,30,2025-01-05,,0,Prime,0
2025-02-01,L00007,Education Loan,East,B002,128826,128826,30,2025-02-08,,0,Prime,0
2025-03-01,L00007,Education Loan,East,B002,128826,128693,30,2025-03-08,,0,Prime,0
2025-04-01,L00007,Education Loan,East,B002,128826,128693,30,2025-04-16,,0,Prime,0
2025-05-01,L00007,Education Loan,East,B002,128826,128693,30,2025-05-21,,0,Prime,0
2025-06-01,L00007,Education Loan,East,B002,128826,128693,30,2025-06-27,,0,Prime,0
2025-07-01,L00007,Education Loan,East,B002,128826,128693,30,2025-07-19,,0,Prime,0
2025-08-01,L00007,Education Loan,East,B002,128826,128693,30,2025-08-21,,0,Prime,0
2025-09-01,L00007,Education Loan,East,B002,128826,128693,60,2025-09-09,,0,Prime,0
2025-10-01,L00007,Education Loan,East,B002,128826,128693,30,2025-10-12,,0,Prime,0
2024-11-01,L00008,Home Loan,East,B010,123267,121845,0,2024-11-05,2024-11-08,0,Standard,0
2024-12-01,L00008,Home Loan,East,B010,123267,118844,0,2024-12-06,2024-12-20,0,Standard,0
2025-01-01,L00008,Home Loan,East,B010,123267,116425,0,2025-01-26,2025-01-04,1,Standard,0
2025-02-01,L00008,Home Loan,East,B010,123267,115137,0,2025-02-06,2025-02-14,0,Standard,0
2025-03-01,L00008,Home Loan,East,B010,123267,113808,0,2025-03-06,2025-03-17,0,Standard,0
2025-04-01,L00008,Home Loan,East,B010,123267,113808,0,2025-04-09,,0,Standard,0
2025-05-01,L00008,Home Loan,East,B010,123267,110781,0,2025-05-21,2025-05-24,0,Standard,0
2025-06-01,L00008,Home Loan,East,B010,123267,107411,0,2025-06-07,2025-06-16,0,Standard,0
2025-07-01,L00008,Home Loan,East,B010,123267,104156,0,2025-07-20,2025-07-19,1,Standard,0
2025-08-01,L00008,Home Loan,East,B010,123267,102079,0,2025-08-09,2025-08-22,0,Standard,0
2025-09-01,L00008,Home Loan,East,B010,123267,100579,0,2025-09-08,2025-09-05,1,Standard,0
2025-10-01,L00008,Home Loan,East,B010,123267,98978,0,2025-10-17,2025-10-27,0,Standard,0
2024-11-01,L00009,Personal Loan,Central,B002,303911,300158,0,2024-11-26,2024-11-25,1,Prime,0
